YYYY-MM-DD HH:MM,MOD,UNMO,PRESS,TEM,RH,BATT
UTC,/hr,/hr,mb,C,%,V
2011-09-23 15:28,497,474,998.7,22,61,15.0
2011-09-23 16:28,525,500,997.8,23,40,15.0
2011-09-23 17:28,503,497,997.0,23,34,15.0
2011-09-23 18:31,542,517,996.2,23,31,15.0
2011-09-23 19:31,448,526,994.2,23,30,15.0
2011-09-23 20:28,548,522,994.5,23,29,15.0
2011-09-23 21:28,506,532,994.9,24,28,15.0
2011-09-23 22:28,544,527,995.0,24,27,15.0
2011-09-23 23:28,541,460,994.6,24,26,15.0
2011-09-24 00:28,502,538,995.4,23,26,15.0
2011-09-24 01:31,522,510,996.2,23,25,15.0
2011-09-24 02:28,519,484,996.8,23,25,15.0
2011-09-24 03:28,529,496,996.9,22,24,15.0
2011-09-24 04:28,502,500,996.4,22,24,15.0
2011-09-24 05:28,552,498,996.5,22,24,15.0
2011-09-24 06:31,530,540,996.8,21,23,15.0
2011-09-24 07:28,498,484,996.7,21,23,15.0
2011-09-24 08:28,555,495,997.1,21,23,15.0
2011-09-24 09:29,478,508,997.3,20,22,15.0
2011-09-24 10:28,519,510,997.8,20,22,15.0
2011-09-24 11:28,495,511,998.6,20,22,15.0
2011-09-24 12:28,488,508,999.3,20,22,15.0
2011-09-24 13:28,513,494,999.6,20,23,15.0
2011-09-24 14:28,528,512,1000.0,21,23,15.0
2011-09-24 15:28,531,462,1000.2,22,23,15.0
2011-09-24 16:28,517,494,1000.0,23,23,15.0
2011-09-24 17:28,546,479,999.9,23,22,15.0
2011-09-24 18:28,521,553,999.6,24,22,15.0
2011-09-24 19:28,540,494,999.3,24,21,15.0
2011-09-24 20:28,510,511,999.4,24,20,15.0
2011-09-24 21:31,468,507,999.2,24,20,15.0
2011-09-24 22:28,548,482,999.1,24,19,15.0
2011-09-24 23:28,535,483,999.6,24,18,15.0
2011-09-25 00:28,520,490,1000.0,24,18,15.0
2011-09-25 01:28,498,493,1000.1,23,17,15.0
2011-09-25 02:28,503,492,1000.4,23,17,15.0
2011-09-25 03:28,526,488,1000.5,23,17,15.0
2011-09-25 04:28,502,505,1000.4,23,17,15.0
2011-09-25 05:28,477,458,1000.0,23,17,15.0
2011-09-25 06:31,496,486,999.7,23,17,15.0
2011-09-25 07:28,530,489,999.2,23,17,15.0
2011-09-25 08:28,520,514,999.4,23,17,15.0
2011-09-25 09:28,469,484,999.7,23,17,15.0
2011-09-25 10:28,500,481,1000.0,23,17,15.0
2011-09-25 11:28,508,494,1000.5,23,17,15.0
2011-09-25 12:28,516,468,1001.0,23,17,15.0
2011-09-25 13:28,469,495,1001.1,23,17,15.0
2011-09-25 14:28,538,496,1001.4,23,17,15.0
2011-09-25 15:28,533,516,1001.5,24,18,15.0
2011-09-25 16:28,533,481,1001.2,24,18,15.0
2011-09-25 17:28,533,542,1000.9,25,18,15.0
2011-09-25 18:28,489,472,1000.0,25,18,15.0
2011-09-25 19:28,483,503,999.8,25,18,15.0
2011-09-25 20:28,502,507,999.2,25,18,15.0
2011-09-25 21:28,525,529,999.2,25,18,15.0
2011-09-25 22:28,494,556,999.3,25,18,15.0
2011-09-25 23:28,483,517,998.9,24,18,15.0
2011-09-26 00:28,486,497,999.0,24,17,15.0
2011-09-26 01:28,526,500,999.4,24,17,15.0
2011-09-26 02:28,490,511,999.2,23,17,15.0
2011-09-26 03:28,467,488,998.8,23,17,15.0
2011-09-26 04:28,497,509,997.8,23,18,15.0
2011-09-26 05:32,486,454,997.5,23,17,15.0
2011-09-26 06:28,543,493,997.8,23,17,15.0
2011-09-26 07:28,555,490,997.1,23,17,15.0
2011-09-26 08:28,494,466,996.9,23,17,15.0
2011-09-26 09:28,550,519,996.8,23,18,15.0
2011-09-26 10:28,500,465,997.3,22,18,15.0
2011-09-26 11:28,485,504,997.7,22,18,15.0
2011-09-26 12:28,517,526,998.5,22,18,15.0
2011-09-26 13:28,489,500,999.1,22,18,15.0
2011-09-26 14:28,507,484,998.9,23,18,15.0
2011-09-26 15:29,475,504,998.3,23,19,15.0
2011-09-26 16:28,515,497,998.3,24,19,15.0
2011-09-26 17:28,485,509,997.8,25,19,15.0
2011-09-26 18:28,509,512,996.9,26,20,15.0
2011-09-26 19:28,514,480,996.3,26,20,15.0
2011-09-26 20:28,562,472,995.8,27,19,15.0
2011-09-26 21:28,563,512,995.5,27,19,15.0
2011-09-26 22:28,543,489,995.6,27,19,15.0
2011-09-26 23:28,521,465,995.6,26,18,15.0
2011-09-27 00:28,513,492,995.6,26,18,15.0
2011-09-27 01:28,537,512,995.7,25,18,15.0
2011-09-27 02:28,516,470,995.5,25,18,15.0
2011-09-27 03:28,509,468,995.7,25,18,15.0
2011-09-27 04:28,519,488,995.1,24,18,15.0
2011-09-27 05:28,513,488,994.8,24,18,15.0
2011-09-27 06:28,500,502,994.7,24,18,15.0
2011-09-27 07:28,522,475,994.6,24,19,15.0
2011-09-27 08:28,510,464,994.6,24,19,15.0
2011-09-27 09:28,500,497,994.8,24,19,15.0
2011-09-27 10:28,546,522,994.6,24,19,15.0
2011-09-27 11:28,490,490,995.0,24,19,15.0
2011-09-27 12:28,531,457,995.1,24,19,15.0
2011-09-27 13:28,465,502,995.5,24,20,15.0
2011-09-27 14:28,544,481,994.9,25,20,15.0
2011-09-27 15:28,548,457,994.7,26,20,15.0
2011-09-27 16:28,494,491,994.5,26,21,15.0
2011-09-27 17:28,556,507,994.0,27,21,15.0
2011-09-27 18:28,526,468,993.3,28,21,15.0
2011-09-27 19:28,526,500,992.4,28,21,15.0
2011-09-27 20:28,547,497,991.8,29,20,15.0
2011-09-27 21:28,504,518,992.2,29,20,15.0
2011-09-27 22:28,532,487,992.8,28,19,15.0
2011-09-27 23:28,475,500,992.9,28,19,15.0
2011-09-28 00:28,524,533,992.9,27,19,15.0
2011-09-28 01:28,540,473,993.7,26,18,15.0
2011-09-28 02:28,527,537,993.7,25,19,15.0
2011-09-28 03:28,538,501,994.1,25,19,15.0
2011-09-28 04:28,566,495,993.6,24,19,15.0
2011-09-28 05:28,539,506,993.2,23,19,15.0
2011-09-28 06:28,519,508,993.5,23,19,15.0
2011-09-28 07:28,489,490,992.9,23,19,15.0
2011-09-28 08:28,551,483,992.3,23,19,15.0
2011-09-28 09:28,529,493,993.3,23,21,15.0
2011-09-28 10:28,490,539,993.1,22,23,15.0
2011-09-28 11:28,478,484,993.5,22,23,15.0
2011-09-28 12:28,484,487,993.8,22,24,15.0
2011-09-28 13:28,518,521,994.2,22,25,15.0
2011-09-28 14:29,505,492,994.5,22,25,15.0
2011-09-28 15:28,558,509,993.9,23,25,15.0
2011-09-28 16:27,521,527,993.6,24,26,15.0
2011-09-28 17:28,527,523,992.8,24,26,15.0
2011-09-28 18:28,505,536,992.4,25,26,15.0
2011-09-28 19:27,537,492,991.6,26,26,15.0
2011-09-28 20:28,515,453,991.4,26,25,15.0
2011-09-28 21:28,531,537,991.3,26,25,15.0
2011-09-28 22:28,500,492,991.6,26,24,15.0
2011-09-28 23:28,535,499,991.6,25,23,15.0
2011-09-29 00:28,554,530,991.9,25,23,15.0
2011-09-29 01:28,505,509,992.1,24,22,15.0
2011-09-29 02:28,529,531,992.0,23,22,15.0
2011-09-29 03:28,535,531,991.9,22,22,15.0
2011-09-29 04:28,532,539,991.6,22,22,15.0
2011-09-29 05:28,561,518,991.3,22,22,15.0
2011-09-29 06:28,541,509,991.0,21,22,15.0
2011-09-29 07:28,522,530,990.5,21,22,15.0
2011-09-29 08:28,549,525,990.4,21,22,15.0
2011-09-29 09:28,565,504,990.2,20,22,15.0
2011-09-29 10:28,581,511,990.5,20,22,15.0
2011-09-29 11:28,568,476,990.6,20,22,15.0
2011-09-29 12:28,518,497,991.3,20,23,15.0
2011-09-29 13:28,530,497,991.4,20,23,15.0
2011-09-29 14:28,531,501,991.2,20,23,15.0
2011-09-29 15:28,536,524,991.1,21,24,15.0
2011-09-29 16:28,536,506,991.1,22,25,15.0
2011-09-29 17:28,542,482,990.8,23,25,15.0
2011-09-29 18:28,561,522,989.8,24,25,15.0
2011-09-29 19:29,559,573,989.7,24,24,15.0
2011-09-29 20:27,566,519,989.6,25,24,15.0
2011-09-29 21:28,555,519,989.2,25,23,15.0
2011-09-29 22:28,549,500,989.5,25,22,15.0
2011-09-29 23:28,569,530,989.5,24,21,15.0
2011-09-30 00:28,524,541,990.1,22,20,15.0
2011-09-30 01:28,584,568,990.5,21,20,15.0
2011-09-30 02:28,582,522,990.9,20,20,15.0
2011-09-30 04:53,1,3,990.8,16,21,15.0
2011-09-30 05:52,565,503,990.2,17,21,15.0
2011-09-30 06:52,572,572,989.7,17,21,15.0
2011-09-30 07:52,593,477,989.2,16,21,15.0
2011-09-30 08:52,601,528,989.4,16,21,15.0
2011-09-30 09:52,544,526,989.7,16,21,15.0
2011-09-30 10:51,526,479,989.6,16,21,15.0
2011-09-30 11:51,571,539,990.2,16,21,15.0
2011-09-30 12:52,547,505,990.1,16,21,15.0
2011-09-30 13:52,529,529,989.5,16,23,15.0
2011-09-30 14:51,558,575,989.5,18,24,15.0
2011-09-30 15:52,550,550,989.2,20,25,15.0
2011-09-30 16:51,549,569,988.8,22,25,15.0
2011-09-30 17:52,531,563,988.2,23,25,15.0
2011-09-30 18:52,538,534,987.8,23,23,15.0
2011-09-30 19:52,587,550,987.5,23,23,15.0
2011-09-30 20:52,602,501,987.5,23,23,15.0
2011-09-30 21:52,586,554,987.8,23,22,15.0
2011-09-30 22:52,589,486,988.2,22,22,15.0
2011-09-30 23:52,621,540,988.4,21,21,15.0
2011-10-01 00:52,572,566,988.4,20,20,15.0
2011-10-01 01:52,595,473,989.4,19,20,15.0
2011-10-01 02:51,551,580,989.4,18,19,15.0
2011-10-01 03:51,567,533,989.2,17,19,15.0
2011-10-01 04:52,564,528,989.4,16,20,15.0
2011-10-01 05:52,600,547,989.3,16,20,15.0
2011-10-01 06:52,519,539,989.3,16,20,15.0
2011-10-01 07:52,612,504,989.2,16,21,15.0
2011-10-01 08:51,575,501,989.6,16,21,15.0
2011-10-01 09:51,543,590,990.1,15,20,15.0
2011-10-01 10:52,583,544,991.0,14,20,15.0
2011-10-01 11:52,567,577,991.6,14,20,15.0
2011-10-01 12:52,536,533,991.7,13,20,15.0
2011-10-01 13:52,574,505,992.2,14,21,15.0
2011-10-01 14:51,535,508,992.5,14,21,15.0
2011-10-01 15:52,595,529,992.6,15,22,15.0
2011-10-01 16:52,513,523,992.6,16,22,15.0
2011-10-01 17:51,572,530,991.8,17,22,15.0
2011-10-01 18:52,553,504,991.9,17,22,15.0
2011-10-01 19:52,521,523,991.9,18,21,15.0
2011-10-01 20:51,560,552,992.1,18,21,15.0
2011-10-01 21:52,568,508,992.7,18,20,15.0
2011-10-01 22:52,566,551,993.4,17,20,15.0
2011-10-01 23:52,540,559,993.6,16,19,15.0
2011-10-02 00:52,573,511,994.3,15,19,15.0
2011-10-02 01:51,570,539,994.3,15,19,15.0
2011-10-02 02:51,557,539,994.3,14,19,15.0
2011-10-02 03:52,582,534,994.1,13,19,15.0
2011-10-02 04:52,548,535,993.6,13,19,15.0
2011-10-02 05:52,584,517,993.5,12,19,15.0
2011-10-02 06:52,576,527,993.2,12,19,15.0
2011-10-02 07:52,588,511,993.4,11,19,15.0
2011-10-02 08:52,560,547,993.8,11,19,15.0
2011-10-02 09:52,511,529,994.1,11,19,15.0
2011-10-02 10:53,557,533,994.5,11,20,15.0
2011-10-02 11:52,595,552,995.3,11,20,15.0
2011-10-02 12:52,567,549,995.5,11,20,15.0
2011-10-02 13:51,547,522,995.6,11,21,15.0
2011-10-02 14:52,564,485,995.4,11,21,15.0
2011-10-02 15:51,570,465,995.7,12,22,15.0
2011-10-02 16:51,549,502,995.7,13,22,15.0
2011-10-02 17:52,559,510,995.4,13,22,15.0
2011-10-02 18:52,600,561,995.6,14,22,15.0
2011-10-02 19:52,541,508,995.7,14,22,15.0
2011-10-02 20:52,548,556,996.1,14,22,15.0
2011-10-02 21:51,578,507,996.4,14,21,15.0
2011-10-02 22:52,549,499,997.0,14,21,15.0
2011-10-02 23:55,530,512,997.5,14,20,15.0
2011-10-03 00:52,555,514,997.8,13,20,15.0
2011-10-03 01:51,520,489,998.0,13,20,15.0
2011-10-03 02:52,547,518,997.6,12,20,15.0
2011-10-03 03:52,572,512,997.4,12,20,15.0
2011-10-03 04:52,526,505,997.3,12,20,15.0
2011-10-03 05:52,588,541,997.3,12,20,15.0
2011-10-03 06:52,540,470,996.8,12,20,15.0
2011-10-03 07:52,560,524,997.0,11,20,15.0
2011-10-03 08:52,576,492,997.6,11,20,15.0
2011-10-03 09:51,547,485,997.7,11,20,15.0
2011-10-03 10:51,552,521,998.1,11,20,15.0
2011-10-03 11:51,568,503,998.8,11,20,15.0
2011-10-03 12:52,524,486,999.4,11,21,15.0
2011-10-03 13:52,541,492,1000.4,11,21,15.0
2011-10-03 14:52,519,514,1000.9,11,21,15.0
2011-10-03 15:52,561,465,1001.1,11,22,15.0
2011-10-03 16:52,497,511,1001.1,11,22,15.0
2011-10-03 17:52,589,530,1000.5,12,22,15.0
2011-10-03 18:52,553,492,1000.4,12,23,15.0
2011-10-03 19:52,542,485,1000.4,13,23,15.0
2011-10-03 20:55,549,477,1000.5,13,24,15.0
2011-10-03 21:52,484,545,1000.7,14,24,15.0
2011-10-03 22:52,560,513,1001.0,14,23,15.0
2011-10-03 23:51,559,436,1001.9,14,23,15.0
2011-10-04 00:52,487,499,1002.2,13,22,15.0
2011-10-04 01:54,481,505,1002.3,13,22,15.0
2011-10-04 02:52,484,500,1002.8,13,22,15.0
2011-10-04 03:51,549,482,1002.6,13,23,15.0
2011-10-04 04:52,497,516,1002.4,12,22,15.0
2011-10-04 05:52,531,500,1002.2,12,22,15.0
2011-10-04 06:52,521,484,1001.8,12,22,15.0
2011-10-04 07:52,530,445,1002.3,12,23,15.0
2011-10-04 08:51,540,485,1002.5,12,23,15.0
2011-10-04 09:52,522,486,1003.1,12,23,15.0
2011-10-04 10:52,550,499,1003.4,12,23,15.0
2011-10-04 11:52,522,486,1004.0,11,23,15.0
2011-10-04 12:52,516,508,1004.9,11,23,15.0
2011-10-04 13:52,510,485,1005.2,12,24,15.0
2011-10-04 14:52,541,468,1005.3,14,26,15.0
2011-10-04 15:51,523,489,1005.2,16,26,15.0
2011-10-04 16:51,494,508,1004.6,17,27,15.0
2011-10-04 17:52,492,492,1004.1,19,27,15.0
2011-10-04 18:52,519,513,1003.5,20,26,15.0
2011-10-04 19:52,507,484,1003.2,20,25,15.0
2011-10-04 20:52,510,456,1003.3,21,25,15.0
2011-10-04 21:52,506,475,1003.8,21,25,15.0
2011-10-04 22:51,523,519,1004.1,20,24,15.0
2011-10-04 23:52,504,482,1004.9,20,23,15.0
2011-10-05 00:52,494,478,1005.0,19,23,15.0
2011-10-05 01:52,495,456,1005.1,18,23,15.0
2011-10-05 02:52,535,466,1005.1,18,23,15.0
2011-10-05 03:52,497,534,1005.1,17,23,15.0
2011-10-05 04:52,543,447,1005.1,16,22,15.0
2011-10-05 05:52,578,444,1005.2,16,22,15.0
2011-10-05 06:52,530,475,1005.2,15,22,15.0
2011-10-05 07:52,507,462,1005.3,14,22,15.0
2011-10-05 08:52,508,470,1005.7,14,22,15.0
2011-10-05 09:52,518,452,1006.0,13,22,15.0
2011-10-05 10:52,500,468,1006.5,12,22,15.0
2011-10-05 11:52,563,480,1006.8,12,22,15.0
2011-10-05 12:52,546,480,1006.9,12,23,15.0
2011-10-05 13:51,514,478,1007.1,12,24,15.0
2011-10-05 14:52,514,472,1006.8,14,26,15.0
2011-10-05 15:51,494,496,1006.4,17,27,15.0
2011-10-05 16:51,502,444,1005.9,19,27,15.0
2011-10-05 17:51,491,505,1005.1,21,27,15.0
2011-10-05 18:52,515,465,1004.5,22,27,15.0
2011-10-05 19:52,552,499,1004.2,23,26,15.0
2011-10-05 20:52,543,504,1004.1,24,25,15.0
2011-10-05 21:52,531,474,1004.1,23,24,15.0
2011-10-05 22:52,460,476,1004.3,23,23,15.0
2011-10-05 23:55,474,505,1004.9,21,22,15.0
2011-10-06 00:52,545,442,1005.4,20,22,15.0
2011-10-06 01:52,548,476,1006.1,19,22,15.0
2011-10-06 02:51,494,478,1006.8,18,22,15.0
2011-10-06 03:52,493,462,1007.5,17,22,15.0
2011-10-06 04:52,508,512,1007.9,16,22,15.0
2011-10-06 05:51,456,488,1008.2,15,22,15.0
2011-10-06 06:51,472,449,1008.7,15,22,15.0
2011-10-06 07:51,501,471,1009.0,14,23,15.0
2011-10-06 08:51,501,468,1009.4,14,23,15.0
2011-10-06 09:52,488,437,1010.1,14,23,15.0
2011-10-06 10:52,508,441,1010.5,14,23,15.0
2011-10-06 11:51,483,454,1011.1,14,23,15.0
2011-10-06 12:52,539,453,1011.7,13,24,15.0
2011-10-06 13:52,518,427,1012.0,14,25,15.0
2011-10-06 14:52,495,435,1012.0,15,26,15.0
2011-10-06 15:52,494,410,1011.7,16,27,15.0
2011-10-06 16:52,467,506,1011.3,18,27,15.0
2011-10-06 17:52,495,453,1010.4,19,27,15.0
2011-10-06 18:52,481,441,1010.0,20,27,15.0
2011-10-06 19:52,493,444,1009.8,21,27,15.0
2011-10-06 20:51,497,460,1009.5,21,26,15.0
2011-10-06 21:52,513,491,1009.5,21,25,15.0
2011-10-06 22:55,481,476,1009.4,21,24,15.0
2011-10-06 23:51,552,468,1009.9,20,23,15.0
2011-10-07 00:52,502,413,1010.3,18,23,15.0
2011-10-07 01:52,498,471,1010.5,17,23,15.0
2011-10-07 02:51,470,398,1010.9,16,23,15.0
2011-10-07 03:52,497,469,1011.0,15,23,15.0
2011-10-07 04:52,494,449,1010.9,14,23,15.0
2011-10-07 05:51,538,472,1011.2,14,23,15.0
2011-10-07 06:52,515,484,1011.2,13,23,15.0
2011-10-07 07:52,514,478,1011.1,13,23,15.0
2011-10-07 08:52,508,465,1011.1,12,23,15.0
2011-10-07 09:51,477,431,1011.4,11,23,15.0
2011-10-07 10:52,512,430,1011.8,11,23,15.0
2011-10-07 11:52,491,468,1012.4,11,23,15.0
